epoch,step,train_loss
0,49,7.766021728515625
0,99,6.6967997550964355
0,149,7.4655327796936035
0,199,7.507524013519287
0,249,6.978967666625977
0,299,6.756588459014893
0,349,6.974902629852295
0,399,7.062292098999023
0,449,6.85343599319458
1,499,6.838624954223633
1,549,6.686531066894531
1,599,7.118313312530518
1,649,7.206758975982666
1,699,6.394899368286133
1,749,6.647696018218994
1,799,6.920958995819092
1,849,6.163571834564209
1,899,6.970407962799072
2,949,6.9300665855407715
2,999,6.574665546417236
2,1049,6.7467498779296875
2,1099,6.853584289550781
2,1149,6.657222747802734
2,1199,7.655740261077881
2,1249,7.053402423858643
2,1299,6.174023151397705
2,1349,7.4539337158203125
2,1399,7.309244632720947
