epoch,step,train_loss
0,49,7.391748905181885
0,99,6.72402811050415
0,149,6.906843185424805
0,199,7.29083776473999
0,249,6.721371173858643
0,299,6.718114376068115
0,349,6.274085521697998
0,399,7.366902828216553
0,449,6.883326053619385
1,499,7.074426174163818
1,549,6.720134735107422
1,599,6.64872407913208
1,649,6.74492883682251
1,699,6.753660202026367
1,749,6.654794692993164
1,799,6.505957126617432
1,849,6.858456134796143
1,899,6.788610935211182
2,949,6.697511196136475
2,999,7.1556477546691895
2,1049,6.278575420379639
2,1099,6.000148773193359
2,1149,6.763700008392334
2,1199,7.535438537597656
2,1249,7.0518975257873535
2,1299,6.470189571380615
2,1349,6.762220859527588
2,1399,6.911365032196045
